library_id,annotation,occurrences,files,source_spellings
testng,Nullable,32,4,Nullable
httpclient,SuppressWarnings,32,21,SuppressWarnings
guava,Target,31,31,Target
mysql-connector-j,BeforeEach,30,30,BeforeEach
guava,Immutable,29,28,Immutable
protobuf-java,ExperimentalApi,28,25,ExperimentalApi
junit-jupiter-api,Inherited,28,26,Inherited
retrofit,Documented,27,27,Documented
retrofit,Retention,27,27,Retention
commons-io,Benchmark,26,5,Benchmark
log4j-core,JsonIgnore,26,6,JsonIgnore
commons-lang,SafeVarargs,26,11,SafeVarargs
retrofit,Target,26,26,Target
mysql-connector-j,AfterEach,25,25,AfterEach
org.osgi.core,ConsumerType,25,24,ConsumerType
commons-lang,DefaultLocale,24,9,DefaultLocale
jackson-core,Deprecated,24,4,Deprecated
guava,J2ObjCIncompatible,24,16,J2ObjCIncompatible
log4j-core,Retention,24,22,Retention
lombok,Shorthand,24,7,Shorthand
guava,FunctionalInterface,23,9,FunctionalInterface
spring-context,FunctionalInterface,23,23,FunctionalInterface
org.osgi.core,ProviderType,23,23,ProviderType
guava,SafeVarargs,23,15,SafeVarargs
jackson-core,SuppressWarnings,23,18,SuppressWarnings
log4j-core,Target,23,21,Target
guava,RetainedWith,22,16,RetainedWith
guava,Retention,22,22,Retention
testng,Retention,22,22,Retention
testng,Target,22,22,Target
commons-lang,ValueSource,22,11,ValueSource
joda-time,Deprecated,21,8,Deprecated
guava,Beta,20,15,Beta
guava,CompatibleWith,20,4,CompatibleWith
commons-io,EnumSource,20,12,EnumSource
joda-time,FromString,20,20,FromString
commons-io,FunctionalInterface,20,20,FunctionalInterface
junit-jupiter-api,FunctionalInterface,20,20,FunctionalInterface
httpclient,Experimental,19,16,Experimental
mockito-core,SafeVarargs,19,2,SafeVarargs
guava,CheckReturnValue,18,18,CheckReturnValue
log4j-core,Documented,18,18,Documented
commons-collections,ParameterizedTest,18,9,ParameterizedTest
gson,Deprecated,17,10,Deprecated
junit-jupiter-api,ExtendWith,17,17,ExtendWith
log4j-api,InternalApi,17,17,InternalApi
mockito-core,NotExtensible,17,17,NotExtensible
joda-time,ToString,17,17,ToString
commons-lang,DefaultTimeZone,16,7,DefaultTimeZone
guava,IgnoreJRERequirement,16,13,IgnoreJRERequirement
guava,NullMarked,16,16,NullMarked
log4j-core,NullMarked,16,16,NullMarked
org.osgi.core,SuppressWarnings,16,8,SuppressWarnings
commons-io,AfterEach,15,15,AfterEach
assertj-core,Beta,15,11,Beta
commons-logging,Deprecated,15,9,Deprecated
lombok,Deprecated,15,14,Deprecated
spring-context,Role,15,6,Role
commons-lang,AfterEach,14,14,AfterEach
slf4j-api,CheckReturnValue,14,2,CheckReturnValue
assertj-core,Deprecated,14,11,Deprecated
log4j-api,Deprecated,14,11,Deprecated
protobuf-java,InlineMe,14,2,InlineMe
commons-io,Timeout,14,3,Timeout
fastjson,Deprecated,13,8,Deprecated
testng,Documented,13,13,Documented
guava,ForOverride,13,7,ForOverride
fastjson,FunctionalInterface,13,13,FunctionalInterface
org.osgi.core,Version,13,13,Version
commons-lang,BenchmarkMode,12,5,BenchmarkMode
h2,Deprecated,12,5,Deprecated
junit-jupiter-api,Deprecated,12,5,Deprecated
mysql-connector-j,Generated,12,12,com.google.protobuf.Generated
guava,InlineMeValidationDisabled,12,8,InlineMeValidationDisabled
mockito-core,Nullable,12,4,Nullable
commons-lang,OutputTimeUnit,12,5,OutputTimeUnit
commons-lang,State,12,5,State
commons-lang,Annotated,11,7,Annotated
mysql-connector-j,Disabled,11,9,Disabled
retrofit,IgnoreJRERequirement,11,4,IgnoreJRERequirement
commons-lang,Param,11,3,Param
mockito-core,This,11,2,Advice.This;This
maven-plugin-api,Deprecated,10,6,Deprecated
jackson-databind,JacksonAnnotation,10,10,JacksonAnnotation;com.fasterxml.jackson.annotation.JacksonAnnotation
log4j-core,PluginAliases,10,8,PluginAliases
spring-context,Reflective,10,10,Reflective
commons-lang,Retention,10,8,Retention
jackson-databind,Retention,10,10,Retention
mockito-core,Retention,10,10,Retention
commons-lang,Setup,10,3,Setup
jackson-databind,Target,10,10,Target
commons-lang,Warmup,10,3,Warmup
lombok,XmlAttribute,10,4,XmlAttribute
spring-context,Bean,9,6,Bean
mockito-core,Deprecated,9,7,Deprecated
commons-io,Disabled,9,5,Disabled
commons-lang,Fork,9,2,Fork
commons-collections,FunctionalInterface,9,8,FunctionalInterface
commons-lang,Measurement,9,2,Measurement
commons-collections,MethodSource,9,1,MethodSource
junit-jupiter-api,NullMarked,9,9,NullMarked
junit-jupiter-api,Repeatable,9,9,Repeatable
commons-lang,Target,9,8,Target
spring-context,Configuration,8,8,Configuration
logback-classic,Deprecated,8,6,Deprecated
commons-lang,Disabled,8,6,Disabled
mockito-core,Documented,8,8,Documented
log4j-api,Export,8,8,Export
commons-lang,NestAnnotation,8,1,NestAnnotation
commons-lang,SetSystemProperty,8,2,SetSystemProperty
retrofit,SuppressWarnings,8,6,SuppressWarnings
assertj-core,Target,8,8,Target
commons-io,ValueSource,8,7,ValueSource
log4j-api,Version,8,8,Version
lombok,DeferUntilPostDiet,7,7,DeferUntilPostDiet
commons-beanutils,Disabled,7,2,Disabled
assertj-core,FunctionalInterface,7,6,FunctionalInterface
spring-context,Import,7,7,Import
spring-context,Inherited,7,7,Inherited
log4j-api,Nullable,7,5,Nullable;org.jspecify.annotations.Nullable
log4j-core,PluginVisitorStrategy,7,7,PluginVisitorStrategy
commons-lang,ReadsDefaultLocale,7,5,ReadsDefaultLocale
junit-jupiter-api,ResourceLock,7,7,ResourceLock
protobuf-java,Target,7,7,Target
commons-beanutils,Deprecated,6,2,Deprecated
log4j-api,Documented,6,6,Documented
protobuf-java,Documented,6,6,Documented
mysql-connector-j,FunctionalInterface,6,6,FunctionalInterface
org.osgi.core,FunctionalInterface,6,6,FunctionalInterface
log4j-core,JacksonXmlElementWrapper,6,5,JacksonXmlElementWrapper
log4j-core,JsonCreator,6,6,JsonCreator
lombok,Mandatory,6,5,Mandatory
fastjson,Retention,6,6,Retention
gson,Retention,6,6,Retention
protobuf-java,Retention,6,6,Retention
junit-jupiter-api,Serial,6,6,Serial
mockito-core,SuppressSignatureCheck,6,4,SuppressSignatureCheck
logback-classic,SuppressWarnings,6,5,SuppressWarnings
maven-plugin-api,SuppressWarnings,6,6,SuppressWarnings
gson,Target,6,6,Target
mockito-core,Target,6,6,Target
commons-codec,ValueSource,6,1,ValueSource
commons-collections,ValueSource,6,5,ValueSource
commons-collections,AfterEach,5,5,AfterEach
commons-codec,BeforeEach,5,5,BeforeEach
commons-io,BenchmarkMode,5,5,BenchmarkMode
commons-io,CartesianTest,5,1,CartesianTest
gson,CheckReturnValue,5,5,com.google.errorprone.annotations.CheckReturnValue
mockito-core,CheckReturnValue,5,5,CheckReturnValue
testng,Deprecated,5,2,Deprecated
commons-io,DisabledOnOs,5,3,DisabledOnOs
commons-io,Enum,5,1,CartesianTest.Enum
mockito-core,Identifier,5,1,Identifier
fastjson,JSONCreator,5,4,JSONCreator
guava,Keep,5,2,Keep
mockito-core,Origin,5,2,Advice.Origin;Origin
commons-io,OutputTimeUnit,5,5,OutputTimeUnit
guava,ReflectionSupport,5,5,ReflectionSupport
spring-context,Repeatable,5,5,Repeatable
lombok,Sequential,5,5,Sequential
assertj-core,Serial,5,5,Serial
log4j-api,ServiceProvider,5,5,ServiceProvider
log4j-core,ServiceProvider,5,5,ServiceProvider
commons-io,State,5,5,State
lombok,SupportedAnnotationTypes,5,5,SupportedAnnotationTypes
log4j-api,SuppressFBWarnings,5,5,SuppressFBWarnings
fastjson,Target,5,5,Target
log4j-api,Target,5,5,Target
commons-io,Values,5,1,Values
junit-jupiter-api,WritesSystemProperty,5,3,WritesSystemProperty
lombok,XmlElement,5,3,XmlElement
commons-codec,AfterEach,4,4,AfterEach
mockito-core,AllArguments,4,2,Advice.AllArguments;AllArguments
lombok,AlreadyHandledAnnotations,4,4,AlreadyHandledAnnotations
log4j-api,AsynchronouslyFormattable,4,4,AsynchronouslyFormattable
log4j-api,BaselineIgnore,4,4,BaselineIgnore
commons-io,BeforeAll,4,4,BeforeAll
spring-context,Component,4,4,Component
log4j-core,Constraint,4,4,Constraint
protobuf-java,DoNotInline,4,4,DoNotInline
gson,Documented,4,4,Documented
guava,Documented,4,4,Documented
mockito-core,Enter,4,1,Advice.Enter
commons-io,Fork,4,4,Fork
lombok,FullName,4,2,FullName
httpclient,FunctionalInterface,4,4,FunctionalInterface
mockito-core,FunctionalInterface,4,4,FunctionalInterface
retrofit,GuardedBy,4,1,GuardedBy
gson,InlineMe,4,2,InlineMe
commons-io,Measurement,4,4,Measurement
log4j-api,Nonnull,4,4,Nonnull
log4j-core,NullUnmarked,4,1,NullUnmarked
spring-context,NullUnmarked,4,4,NullUnmarked
mockito-core,OnMethodEnter,4,1,Advice.OnMethodEnter
mockito-core,OnMethodExit,4,1,Advice.OnMethodExit
log4j-core,Order,4,4,Order
assertj-core,Retention,4,4,Retention
mockito-core,Return,4,1,Advice.Return
log4j-api,ServiceConsumer,4,4,ServiceConsumer
commons-lang,SetSystemProperties,4,2,SetSystemProperties
retrofit,TargetApi,4,4,TargetApi
commons-lang,TestFactory,4,2,TestFactory
junit-jupiter-api,Testable,4,4,Testable
commons-lang,Timeout,4,2,Timeout
log4j-core,ValidPort,4,3,ValidPort
commons-io,Warmup,4,4,Warmup
commons-lang,WritesDefaultLocale,4,3,WritesDefaultLocale
lombok,XmlElementWrapper,4,2,XmlElementWrapper
commons-io,AfterAll,3,3,AfterAll
mockito-core,Argument,3,2,Advice.Argument;Argument
spring-context,Autowired,3,3,Autowired
commons-beanutils,BeforeAll,3,3,BeforeAll
logback-classic,ConfiguratorRank,3,3,ConfiguratorRank
commons-collections,CsvSource,3,3,CsvSource
commons-io,EnabledIf,3,1,EnabledIf
commons-io,EnabledOnOs,3,2,EnabledOnOs
lombok,Excludes,3,2,Excludes
commons-lang,HashCodeExclude,3,1,HashCodeExclude
commons-lang,IntRangeSource,3,1,IntRangeSource
fastjson,JSONField,3,3,JSONField
log4j-core,JsonDeserialize,3,2,JsonDeserialize
log4j-core,JsonIgnoreProperties,3,3,JsonIgnoreProperties
log4j-core,JsonPropertyOrder,3,3,JsonPropertyOrder
log4j-core,PluginNode,3,3,PluginNode
log4j-api,Retention,3,3,Retention
assertj-core,RuntimeType,3,3,RuntimeType
commons-io,SafeVarargs,3,3,SafeVarargs
assertj-core,SuperCall,3,3,SuperCall
commons-logging,SuppressWarnings,3,3,SuppressWarnings
commons-lang,TestAnnotation,3,1,TestAnnotation
commons-collections,TestFactory,3,2,TestFactory
assertj-core,This,3,3,This
lombok,XmlJavaTypeAdapter,3,3,XmlJavaTypeAdapter
commons-lang,AnnotationTestFixture,2,1,AnnotationTestFixture
httpclient,AuthStateCacheable,2,2,AuthStateCacheable
